name,res,rr,panel,size,cost,min_gpu,curve,aspect,special,reviews

CoolerMaster GP27Q,2560x1440p,165hz,IPS miniLED 576 zones,27",$500,5700,no,wide,VRR+HDR flickering and other firmware issues, https://tftcentral.co.uk/reviews/cooler-master-tempest-gp27q https://www.youtube.com/watch?v=G6MS45GqcJ4

CoolerMaster GP27U,3840x2160p,160hz,IPS miniLED 576 zones,27",$800,ps5,no,wide,VRR+HDR flickering,https://www.rtings.com/monitor/reviews/cooler-master/tempest-gp27u https://www.youtube.com/watch?v=z9tLaKdOdkQ

KTC M27P20 Pro,3840x2160p,160hz,IPS miniLED 576 zones,27",$800,ps5,no,wide,, https://www.youtube.com/watch?v=xINKVAGOiAs

Innocn 27M2V,3840x2160p,160hz,IPS miniLED 1152 zones,27",$800,ps5,no,wide,somewhat buggy firmware and reports of coil whine,https://chimolog.co/bto-gaming-monitor-innocn-27m2v/

Nubia RedMagic,3840x2160p,160hz,IPS miniLED 1152 zones,27",$870,ps5,no,wide,reports of coil whine,https://www.youtube.com/watch?v=AHJ0yUUuPkE
