name,res,rr,panel,size,cost,min_gpu,curve,aspect,special,reviews

MSI G273Q(P)F,2560x1440p,165hz,IPS,27",$350,5700,no,wide,P variant has adjustable stand, https://www.rtings.com/monitor/reviews/msi/optix-g273qf https://www.youtube.com/watch?v=nnsstM_3a00 

Dell S2721DGF,2560x1440p,165hz,IPS,27",$380,5700,no,wide,, https://www.rtings.com/monitor/reviews/dell/s2721dgf https://www.youtube.com/watch?v=D3vbqyjgPpY

Gigabyte M32Q,2560x1440p,170hz,IPS,32",$400,5700,no,wide,, https://www.rtings.com/monitor/reviews/gigabyte/m32q https://www.youtube.com/watch?v=tS7HYqepUZI 

LG 27GP850/27GP83B,2560x1440p,180hz,IPS,27",$430,5700,no,wide,, https://www.rtings.com/monitor/reviews/lg/27gp850-b-27gp83b-b 

Gigabyte M27Q-X,2560x1440p,240hz,IPS,27",$450,5700,no,wide,, https://www.rtings.com/monitor/reviews/gigabyte/m27q-x https://www.youtube.com/watch?v=dDPq0uHNTyo https://www.youtube.com/watch?v=x6dHt4nXZ-Q

Dell AW2723DF,2560x1440p,280hz,IPS,27",$600,5700,no,wide,, https://www.rtings.com/monitor/reviews/dell/alienware-aw2723df https://www.youtube.com/watch?v=q-xF3uHQKm4

Dell AW2721D,2560x1440p,240hz,IPS,27",$600,5700,no,wide,brighter than 23DF and has Gsync module but more overshoot, https://www.rtings.com/monitor/tools/compare/dell-alienware-aw2721d-vs-dell-alienware-aw2723df/20236/34684?usage=3623&threshold=0.10 

Asus PG279QM,2560x1440p,240hz,IPS,27",$750,5700,no,wide,GSync module; best in class, https://www.youtube.com/watch?v=Th3LLfm7nl0 https://www.rtings.com/monitor/reviews/asus/rog-swift-pg279qm

Asus PG27AQN,2560x1440p,360hz,IPS,27",$1050,5700,no,wide,GSync module; best in class, https://www.rtings.com/monitor/reviews/asus/rog-swift-360hz-pg27aqn https://www.youtube.com/watch?v=eYFtLBM3a78
