name,res,rr,panel,size,cost,min_gpu,curve,aspect,special,reviews

Dell S2722DGM,2560x1440p,165hz,VA,27",$250,5700,yes,wide,, https://www.rtings.com/monitor/reviews/dell/s2722dgm

Dell S3222DGM,2560x1440p,165hz,VA,32",$300,5700,yes,wide,, https://www.rtings.com/monitor/reviews/dell/s3222dgm

Dell S3221QS,3840x2160p,60hz,VA,32",$350,5700,yes,wide,, https://www.rtings.com/monitor/reviews/dell/s3221qs

Dell S3422DWG,3440x1440p,144hz,VA,34",$450,1080ti,yes,ultrawide,, https://www.rtings.com/monitor/reviews/dell/s3422dwg

KTC M27T20,2560x1440p,165hz,VA MiniLED 576zones,27",$500,5700,no,wide,, https://www.youtube.com/watch?v=xINKVAGOiAs

CoolerMaster GP27Q,2560x1440p,165hz,IPS miniLED 576zones,27",$500,5700,no,wide,VRR+HDR flickering and other firmware issues, https://tftcentral.co.uk/reviews/cooler-master-tempest-gp27q https://www.youtube.com/watch?v=G6MS45GqcJ4, 

Innocn 27M2U,3840x2160p,60hz,IPS miniLED 384zones,27",$700,ps5,no,wide,,https://chimolog.co/bto-gaming-monitor-innocn-m2u/

CoolerMaster GP27U,3840x2160p,160hz,IPS miniLED 576zones,27",$800,ps5,no,wide,VRR+HDR flickering,https://www.rtings.com/monitor/reviews/cooler-master/tempest-gp27u https://www.youtube.com/watch?v=z9tLaKdOdkQ

KTC M27P20 Pro,3840x2160p,160hz,IPS miniLED 576zones,27",$800,ps5,no,wide,, https://www.youtube.com/watch?v=xINKVAGOiAs

Innocn 27M2V,3840x2160p,160hz,IPS miniLED 1152zones,27",$800,ps5,no,wide,somewhat buggy firmware,https://chimolog.co/bto-gaming-monitor-innocn-27m2v/

Nubia RedMagic,3840x2160p,160hz,IPS miniLED 1152zones,27",$870,ps5,no,wide,,https://www.youtube.com/watch?v=AHJ0yUUuPkE

Asus PA32UCG-K,3840x2160p,120hz,IPS miniLED 1152zones,32",$3000,ps5,no,wide,factory calibrated,

Apple Pro Display XDR,6016x3384p,60hz,IPS FALD,32",$5000,floor,no,wide, type-c hub with 96W charging and factory calibrated and glossy,
