name,res,rr,panel,size,cost,min_gpu,curve,aspect,special,reviews

MSI MAG274QRF-QD,2560x1440p,165hz,IPS,27",$420,floor,no,wide,100% Adobe RGB, https://www.youtube.com/watch?v=i3X3yFh0-gE https://www.rtings.com/monitor/reviews/msi/optix-mag274qrf-qd

Asus PA279CRV,3840x2160p,60hz,IPS,27",$500,floor,no,wide, type-c hub with 96W charging; 100% Adobe RGB, https://www.youtube.com/watch?v=kPBZPfEfA9Y

KTC M27T20,2560x1440p,165hz,VA MiniLED 576zones,27",$500,5700,no,wide,, https://www.youtube.com/watch?v=xINKVAGOiAs

CoolerMaster GP27Q,2560x1440p,165hz,IPS miniLED 576zones,27",$500,5700,no,wide,VRR+HDR flickering and other firmware issues, https://tftcentral.co.uk/reviews/cooler-master-tempest-gp27q https://www.youtube.com/watch?v=G6MS45GqcJ4

Asus PA329C,3840x2160p,60hz,IPS,32",$1000,floor,no,wide, type-c hub with 65W; 100% Adobe RGB,

LG 32ep950,3840x2160p,60hz,Inkjet OLED,32",$2800,floor,no,wide,hardware calibration + sdr only, https://www.youtube.com/watch?v=5A0S1wDwR3k

Asus PA32DC,3840x2160p,60hz,Inkjet OLED,32",$2800,floor,no,wide,hardware calibration + sdr only,

Asus PA32UCG-K,3840x2160p,120hz,IPS miniLED 1152zones,32",$3000,floor,no,wide,hardware calibration,
