,monitor,curved,size,contrast,contrast_LD,backlight,sdr_brightness,hdr_brightness,rec_mode,rec_rgb,rec_contrast,rec_gamma,srgb,adobergb,dcip3_volume,rec2020_volume,coating,pixel,subpixel,refreshrate,hdmi_rr10,dp_rr10,gsync,rec_overdrive,trt_max,overshoot_max,smear_max,trt_120,overshoot_120,smear_120,pwm,inputlag_max,inputlag_120,res,aspect,ppi,ps5_vrr,xbox_vrr,hdmi2.1,powerdelivery,kvm,multi_input
0,LG 27GL650F-B,No,"27""","1,165 : 1",,Edge,429 cd/m²,410 cd/m²,Gamer 1,50-42-38,70.0,Mode 2,99.4%,75.4%,69.8%,50.6%,Matte,IPS,RGB,144 Hz,144 Hz,144 Hz,Compatible (NVIDIA Certified),Faster,13.9 ms,7.2%,25.3 ms,16.1 ms,12.6%,26.5 ms,0 Hz,4.7 ms,5.3 ms,1920 x 1080,16:9,82 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
1,LG 38WN95C-W,Yes,"38""",898 : 1,918 : 1,Edge,476 cd/m²,711 cd/m²,Custom,50-50-48,70.0,Mode 2,100.0%,85.6%,83.9%,67.8%,Matte,IPS,RGB,144 Hz,30 Hz,120 Hz,Compatible (NVIDIA Certified),Normal,7.1 ms,0.3%,9.0 ms,7.4 ms,0.9%,10.8 ms,0 Hz,4.1 ms,5.1 ms,3840 x 1600,21:9,111 PPI,No,Yes,No HDMI 2.1,90W,No,PBP
2,Dell Alienware AW3423DWF,Yes,"34""",Inf : 1,,No Backlight,240 cd/m²,345 cd/m²,Custom Color,97-98-100,75.0,No Gamma Setting,99.1%,94.5%,95.7%,79.0%,Glossy,QD-OLED,Triangular RGB,165 Hz,60 Hz,100 Hz,Compatible (Tested),No Overdrive,1.4 ms,1.8%,6.0 ms,1.8 ms,1.8%,8.3 ms,0 Hz,3.5 ms,6.0 ms,3440 x 1440,21:9,110 PPI,Yes,Yes,No HDMI 2.1,No USB-C Ports,No,PIP + PBP
3,Samsung Odyssey G9,Yes,"49""","2,231 : 1","2,320 : 1",Edge,398 cd/m²,601 cd/m²,Custom,46-53-48,75.0,Mode 1,99.5%,81.9%,79.5%,61.0%,Matte,VA,RGB,240 Hz,,240 Hz,Compatible (NVIDIA Certified),Adaptive Sync,7.9 ms,36.0%,13.2 ms,10.3 ms,18.3%,17.0 ms,>1000 Hz,2.8 ms,4.8 ms,5120x1440,32:9,109 PPI,No,No,No HDMI 2.1,No USB-C Ports,No,PIP + PBP
4,Dell Alienware AW2521HF,No,"25""","1,198 : 1",,Edge,411 cd/m²,,Game 1,100-98-98,75.0,No Gamma Setting,97.7%,75.2%,,,Matte,IPS,RGB,240 Hz,,,Compatible (NVIDIA Certified),Extreme,5.1 ms,0.3%,9.4 ms,7.6 ms,0.0%,9.2 ms,0 Hz,2.7 ms,4.9 ms,1920 x 1080,16:9,91 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
5,Samsung Odyssey G4/G40B S27BG40,No,"27""","1,006 : 1",,Edge,362 cd/m²,386 cd/m²,Custom,55-52-44,70.0,Mode 1,99.9%,78.3%,63.0%,53.2%,Matte,IPS,RGB,240 Hz,120 Hz,240 Hz,Compatible (NVIDIA Certified),Adaptive Sync,10.7 ms,0.0%,15.2 ms,11.3 ms,0.0%,16.5 ms,0 Hz,2.9 ms,6.4 ms,1920 x 1080,16:9,81 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
6,Sony INZONE M9,No,"27""","1,046 : 1","1,198 : 1",Full-Array,432 cd/m²,645 cd/m²,Game 1,100-95-92,75.0,2.2,100.0%,86.5%,84.9%,68.8%,Matte,IPS,RGB,144 Hz,120 Hz,144 Hz,Compatible (NVIDIA Certified),Fast,8.4 ms,6.2%,13.7 ms,10.1 ms,8.5%,15.7 ms,0 Hz,4.2 ms,4.8 ms,3840 x 2160,16:9,164 PPI,Yes,Yes,40Gbps (FRL 10x4),15W,No,No
7,Sony INZONE M3,No,"27""","1,129 : 1",,Edge,403 cd/m²,432 cd/m²,Game 2,100-97-96,75.0,2.2,100.0%,80.0%,73.3%,58.0%,Matte,IPS,RGB,240 Hz,120 Hz,240 Hz,Compatible (NVIDIA Certified),Fast,5.5 ms,2.9%,8.3 ms,9.3 ms,0.0%,12.1 ms,0 Hz,2.9 ms,4.9 ms,1920 x 1080,16:9,82 PPI,Yes,Yes,No HDMI 2.1,15W,No,No
8,LG 32GQ950-B,No,"32""",982 : 1,991 : 1,Edge,367 cd/m²,558 cd/m²,Gamer 1,51-49-48,68.0,Mode 2,99.5%,88.3%,85.3%,70.7%,Semi-Gloss,IPS,RGB,160 Hz,144 Hz,160 Hz,Compatible (NVIDIA Certified),Normal,5.8 ms,0.5%,8.3 ms,7.4 ms,1.6%,11.5 ms,>1000 Hz,4.3 ms,5.1 ms,3840 x 2160,16:9,139 PPI,Yes,Yes,48Gbps (FRL 12x4),No USB-C Ports,No,No
9,Samsung Odyssey Neo G7 S32BG75,Yes,"32""","3,326 : 1","19,238 : 1",Full-Array,306 cd/m²,416 cd/m²,Custom,45-50-47,75.0,Mode 1,99.3%,84.5%,84.6%,67.6%,Matte,VA,RGB,165 Hz,165 Hz,165 Hz,Compatible (Tested),Adaptive Sync,7.4 ms,6.6%,13.5 ms,9.3 ms,6.7%,17.2 ms,>1000 Hz,4.0 ms,5.1 ms,3840 x 2160,16:9,139 PPI,Yes,Yes,40Gbps (FRL 10x4),No USB-C Ports,No,PIP
